;;;;
;OCORRENCIA;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Película deficiente;;;
SINALIZAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Amassada;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Amassada;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;Trinca tipo 'Bloco', FC-2;;;
PAVIMENTAÇÃO;;;;
TERRAPLENOS E CONTENÇÕES;Operando;;;
OPERAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Deságue deficiente;;;
DRENAGEM OAC;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OBRA;Trinca tipo 'Couro de Jacaré', FC-2;;;
PAVIMENTAÇÃO;;;;
OBRA;Panela / Buraco;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Capina deficiente;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Película deficiente;;;
SINALIZAÇÃO;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Material no acostamento;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira geral;;;
DRENAGEM OAC;Deságue deficiente;;;
DRENAGEM OAC;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Erosão;;;
TERRAPLENOS E CONTENÇÕES;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Suja;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;Sinalização horizontal deficiente;;;
OBRAS DE ARTE ESPECIAIS;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Desplacamento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Errada;;;
SINALIZAÇÃO;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Afundamento local;;;
PAVIMENTAÇÃO;Drenagem obstruída;;;
OBRAS DE ARTE ESPECIAIS;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Assoreado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desgaste;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Equipamento com falhas;;;
OPERAÇÃO;;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Sujeira geral;;;
DRENAGEM OAC;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Buraco;;;
OBRAS DE ARTE ESPECIAIS;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Tampa danificada;;;
DRENAGEM OAC;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Buraco;;;
OBRAS DE ARTE ESPECIAIS;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Buraco;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
DRENAGEM OAC;Pintura insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Película deficiente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Película deficiente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Obstruído;;;
DRENAGEM OAC;Suja;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Acúmulo de vegetação;;;
DRENAGEM OAC;Varrição deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Erosão;;;
TERRAPLENOS E CONTENÇÕES;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Ondulação/Corrugação;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
DRENAGEM OAC;;;;
OBRA;Trinca longitudinal;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Tombamento;;;
OPERAÇÃO;Remendo;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Trincas/Sulcos;;;
TERRAPLENOS E CONTENÇÕES;Trincas/Sulcos;;;
TERRAPLENOS E CONTENÇÕES;;;;
OPERAÇÃO;;;;
OBRA;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Ausente;;;
SINALIZAÇÃO;Danificada;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
SINALIZAÇÃO;Pintura insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Operando;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
OBRA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRAS DE ARTE ESPECIAIS;Operando;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Operando;;;
OPERAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRAS DE ARTE ESPECIAIS;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;;;;
TERRAPLENOS E CONTENÇÕES;;;;
OBRA;;;;
OBRA;;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Operando;;;
OPERAÇÃO;;;;
OBRA;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
OBRAS DE ARTE ESPECIAIS;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos afetando a visibilidade;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Equipamento com falhas;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
PAVIMENTAÇÃO;Erosão;;;
TERRAPLENOS E CONTENÇÕES;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Obstruído;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Publicidade irregular;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Deságue deficiente;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Trinca transversal;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Encoberto pela vegetação;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
DRENAGEM OAC;Pintura insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Instalações elétricas insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Paredes e forros;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Instalações elétricas insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Desplacamento;;;
PAVIMENTAÇÃO;Trinca longitudinal;;;
PAVIMENTAÇÃO;Película deficiente;;;
SINALIZAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desplacamento;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Cobertura vegetal deficiente;;;
TERRAPLENOS E CONTENÇÕES;Desplacamento;;;
PAVIMENTAÇÃO;Trinca transversal;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desplacamento;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Remendo;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
